Time (s),joint 1,joint 2,joint 3,joint 4,joint 5,joint 6
0.1,0,0,0,0,0,0
0.15,0,0,0,0,0,0
0.2,-1.42E-05,-5.68E-05,-1.28E-04,-2.27E-04,-3.55E-04,-5.11E-04
0.25,-5.68E-05,-2.27E-04,-5.11E-04,-9.07E-04,-1.41E-03,-2.03E-03
0.3,-1.28E-04,-5.11E-04,-1.15E-03,-2.03E-03,-3.16E-03,-4.53E-03
0.35,-2.27E-04,-9.07E-04,-2.03E-03,-3.59E-03,-5.57E-03,-7.94E-03
0.4,-3.55E-04,-1.41E-03,-3.16E-03,-5.57E-03,-8.59E-03,-1.22E-02
0.45,-5.11E-04,-2.03E-03,-4.53E-03,-7.94E-03,-1.22E-02,-1.72E-02
0.5,-6.95E-04,-2.76E-03,-6.12E-03,-1.07E-02,-1.63E-02,-2.28E-02
0.55,-9.07E-04,-3.59E-03,-7.94E-03,-1.38E-02,-2.09E-02,-2.90E-02
0.6,-1.15E-03,-4.53E-03,-9.97E-03,-1.72E-02,-2.58E-02,-3.55E-02
0.65,-1.41E-03,-5.57E-03,-1.22E-02,-2.09E-02,-3.11E-02,-4.22E-02
0.7,-1.71E-03,-6.71E-03,-1.46E-02,-2.48E-02,-3.66E-02,-4.90E-02
0.75,-2.03E-03,-7.94E-03,-1.72E-02,-2.90E-02,-4.22E-02,-5.56E-02
0.8,-2.38E-03,-9.27E-03,-1.99E-02,-3.33E-02,-4.78E-02,-6.21E-02
0.85,-2.76E-03,-1.07E-02,-2.28E-02,-3.77E-02,-5.34E-02,-6.82E-02
0.9,-3.16E-03,-1.22E-02,-2.58E-02,-4.22E-02,-5.89E-02,-7.37E-02
0.95,-3.59E-03,-1.38E-02,-2.90E-02,-4.67E-02,-6.42E-02,-7.86E-02
1,-4.05E-03,-1.55E-02,-3.22E-02,-5.12E-02,-6.91E-02,-8.27E-02
1.05,-4.53E-03,-1.72E-02,-3.55E-02,-5.56E-02,-7.37E-02,-8.60E-02
1.1,-5.03E-03,-1.90E-02,-3.88E-02,-6.00E-02,-7.78E-02,-8.83E-02
1.15,-5.57E-03,-2.09E-02,-4.22E-02,-6.42E-02,-8.14E-02,-8.97E-02
1.2,-6.12E-03,-2.28E-02,-4.56E-02,-6.82E-02,-8.44E-02,-9.00E-02
1.25,-6.71E-03,-2.48E-02,-4.90E-02,-7.19E-02,-8.68E-02,-8.93E-02
1.3,-7.31E-03,-2.69E-02,-5.23E-02,-7.54E-02,-8.86E-02,-8.76E-02
1.35,-7.94E-03,-2.90E-02,-5.56E-02,-7.86E-02,-8.97E-02,-8.50E-02
1.4,-8.59E-03,-3.11E-02,-5.89E-02,-8.14E-02,-9.00E-02,-8.14E-02
1.45,-9.27E-03,-3.33E-02,-6.21E-02,-8.39E-02,-8.97E-02,-7.70E-02
1.5,-9.97E-03,-3.55E-02,-6.52E-02,-8.60E-02,-8.86E-02,-7.19E-02
1.55,-1.07E-02,-3.77E-02,-6.82E-02,-8.76E-02,-8.68E-02,-6.62E-02
1.6,-1.14E-02,-3.99E-02,-7.10E-02,-8.89E-02,-8.44E-02,-6.00E-02
1.65,-1.22E-02,-4.22E-02,-7.37E-02,-8.97E-02,-8.14E-02,-5.34E-02
1.7,-1.30E-02,-4.44E-02,-7.62E-02,-9.00E-02,-7.78E-02,-4.67E-02
1.75,-1.38E-02,-4.67E-02,-7.86E-02,-8.99E-02,-7.37E-02,-3.99E-02
1.8,-1.46E-02,-4.90E-02,-8.07E-02,-8.93E-02,-6.91E-02,-3.33E-02
1.85,-1.55E-02,-5.12E-02,-8.27E-02,-8.83E-02,-6.42E-02,-2.69E-02
1.9,-1.63E-02,-5.34E-02,-8.44E-02,-8.68E-02,-5.89E-02,-2.09E-02
1.95,-1.72E-02,-5.56E-02,-8.60E-02,-8.50E-02,-5.34E-02,-1.55E-02
2,-1.81E-02,-5.78E-02,-8.72E-02,-8.27E-02,-4.78E-02,-1.07E-02
2.05,-1.90E-02,-6.00E-02,-8.83E-02,-8.00E-02,-4.22E-02,-6.71E-03
2.1,-1.99E-02,-6.21E-02,-8.91E-02,-7.70E-02,-3.66E-02,-3.59E-03
2.15,-2.09E-02,-6.42E-02,-8.97E-02,-7.37E-02,-3.11E-02,-1.41E-03
2.2,-2.19E-02,-6.62E-02,-8.99E-02,-7.01E-02,-2.58E-02,-2.27E-04
2.25,-2.28E-02,-6.82E-02,-9.00E-02,-6.62E-02,-2.09E-02,-5.68E-05
2.3,-2.38E-02,-7.01E-02,-8.98E-02,-6.21E-02,-1.63E-02,-9.07E-04
2.35,-2.48E-02,-7.19E-02,-8.93E-02,-5.78E-02,-1.22E-02,-2.76E-03
2.4,-2.58E-02,-7.37E-02,-8.86E-02,-5.34E-02,-8.59E-03,-5.57E-03
2.45,-2.69E-02,-7.54E-02,-8.76E-02,-4.90E-02,-5.57E-03,-9.27E-03
2.5,-2.79E-02,-7.70E-02,-8.64E-02,-4.44E-02,-3.16E-03,-1.38E-02
2.55,-2.90E-02,-7.86E-02,-8.50E-02,-3.99E-02,-1.41E-03,-1.90E-02
2.6,-3.00E-02,-8.00E-02,-8.33E-02,-3.55E-02,-3.55E-04,-2.48E-02
2.65,-3.11E-02,-8.14E-02,-8.14E-02,-3.11E-02,0,-3.11E-02
2.7,-3.22E-02,-8.27E-02,-7.93E-02,-2.69E-02,-3.55E-04,-3.77E-02
2.75,-3.33E-02,-8.39E-02,-7.70E-02,-2.28E-02,-1.41E-03,-4.44E-02
2.8,-3.44E-02,-8.50E-02,-7.46E-02,-1.90E-02,-3.16E-03,-5.12E-02
2.85,-3.55E-02,-8.60E-02,-7.19E-02,-1.55E-02,-5.57E-03,-5.78E-02
2.9,-3.66E-02,-8.68E-02,-6.91E-02,-1.22E-02,-8.59E-03,-6.42E-02
2.95,-3.77E-02,-8.76E-02,-6.62E-02,-9.27E-03,-1.22E-02,-7.01E-02
3,-3.88E-02,-8.83E-02,-6.31E-02,-6.71E-03,-1.63E-02,-7.54E-02
3.05,-3.99E-02,-8.89E-02,-6.00E-02,-4.53E-03,-2.09E-02,-8.00E-02
3.1,-4.11E-02,-8.93E-02,-5.67E-02,-2.76E-03,-2.58E-02,-8.39E-02
3.15,-4.22E-02,-8.97E-02,-5.34E-02,-1.41E-03,-3.11E-02,-8.68E-02
3.2,-4.33E-02,-8.99E-02,-5.01E-02,-5.11E-04,-3.66E-02,-8.89E-02
3.25,-4.44E-02,-9.00E-02,-4.67E-02,-5.68E-05,-4.22E-02,-8.99E-02
3.3,-4.56E-02,-9.00E-02,-4.33E-02,-5.68E-05,-4.78E-02,-8.99E-02
3.35,-4.67E-02,-8.99E-02,-3.99E-02,-5.11E-04,-5.34E-02,-8.89E-02
3.4,-4.78E-02,-8.97E-02,-3.66E-02,-1.41E-03,-5.89E-02,-8.68E-02
3.45,-4.90E-02,-8.93E-02,-3.33E-02,-2.76E-03,-6.42E-02,-8.39E-02
3.5,-5.01E-02,-8.89E-02,-3.00E-02,-4.53E-03,-6.91E-02,-8.00E-02
3.55,-5.12E-02,-8.83E-02,-2.69E-02,-6.71E-03,-7.37E-02,-7.54E-02
3.6,-5.23E-02,-8.76E-02,-2.38E-02,-9.27E-03,-7.78E-02,-7.01E-02
3.65,-5.34E-02,-8.68E-02,-2.09E-02,-1.22E-02,-8.14E-02,-6.42E-02
3.7,-5.45E-02,-8.60E-02,-1.81E-02,-1.55E-02,-8.44E-02,-5.78E-02
3.75,-5.56E-02,-8.50E-02,-1.55E-02,-1.90E-02,-8.68E-02,-5.12E-02
3.8,-5.67E-02,-8.39E-02,-1.30E-02,-2.28E-02,-8.86E-02,-4.44E-02
3.85,-5.78E-02,-8.27E-02,-1.07E-02,-2.69E-02,-8.97E-02,-3.77E-02
3.9,-5.89E-02,-8.14E-02,-8.59E-03,-3.11E-02,-9.00E-02,-3.11E-02
3.95,-6.00E-02,-8.00E-02,-6.71E-03,-3.55E-02,-8.97E-02,-2.48E-02
4,-6.10E-02,-7.86E-02,-5.03E-03,-3.99E-02,-8.86E-02,-1.90E-02
4.05,-6.21E-02,-7.70E-02,-3.59E-03,-4.44E-02,-8.68E-02,-1.38E-02
4.1,-6.31E-02,-7.54E-02,-2.38E-03,-4.90E-02,-8.44E-02,-9.27E-03
4.15,-6.42E-02,-7.37E-02,-1.41E-03,-5.34E-02,-8.14E-02,-5.57E-03
4.2,-6.52E-02,-7.19E-02,-6.95E-04,-5.78E-02,-7.78E-02,-2.76E-03
4.25,-6.62E-02,-7.01E-02,-2.27E-04,-6.21E-02,-7.37E-02,-9.07E-04
4.3,-6.72E-02,-6.82E-02,-1.42E-05,-6.62E-02,-6.91E-02,-5.68E-05
4.35,-6.82E-02,-6.62E-02,-5.68E-05,-7.01E-02,-6.42E-02,-2.27E-04
4.4,-6.91E-02,-6.42E-02,-3.55E-04,-7.37E-02,-5.89E-02,-1.41E-03
4.45,-7.01E-02,-6.21E-02,-9.07E-04,-7.70E-02,-5.34E-02,-3.59E-03
4.5,-7.10E-02,-6.00E-02,-1.71E-03,-8.00E-02,-4.78E-02,-6.71E-03
4.55,-7.19E-02,-5.78E-02,-2.76E-03,-8.27E-02,-4.22E-02,-1.07E-02
4.6,-7.28E-02,-5.56E-02,-4.05E-03,-8.50E-02,-3.66E-02,-1.55E-02
4.65,-7.37E-02,-5.34E-02,-5.57E-03,-8.68E-02,-3.11E-02,-2.09E-02
4.7,-7.46E-02,-5.12E-02,-7.31E-03,-8.83E-02,-2.58E-02,-2.69E-02
4.75,-7.54E-02,-4.90E-02,-9.27E-03,-8.93E-02,-2.09E-02,-3.33E-02
4.8,-7.62E-02,-4.67E-02,-1.14E-02,-8.99E-02,-1.63E-02,-3.99E-02
4.85,-7.70E-02,-4.44E-02,-1.38E-02,-9.00E-02,-1.22E-02,-4.67E-02
4.9,-7.78E-02,-4.22E-02,-1.63E-02,-8.97E-02,-8.59E-03,-5.34E-02
4.95,-7.86E-02,-3.99E-02,-1.90E-02,-8.89E-02,-5.57E-03,-6.00E-02
5,-7.93E-02,-3.77E-02,-2.19E-02,-8.76E-02,-3.16E-03,-6.62E-02
5.05,-8.00E-02,-3.55E-02,-2.48E-02,-8.60E-02,-1.41E-03,-7.19E-02
5.1,-8.07E-02,-3.33E-02,-2.79E-02,-8.39E-02,-3.55E-04,-7.70E-02
5.15,-8.14E-02,-3.11E-02,-3.11E-02,-8.14E-02,0,-8.14E-02
5.2,-8.21E-02,-2.90E-02,-3.44E-02,-7.86E-02,-3.55E-04,-8.50E-02
5.25,-8.27E-02,-2.69E-02,-3.77E-02,-7.54E-02,-1.41E-03,-8.76E-02
5.3,-8.33E-02,-2.48E-02,-4.11E-02,-7.19E-02,-3.16E-03,-8.93E-02
5.35,-8.39E-02,-2.28E-02,-4.44E-02,-6.82E-02,-5.57E-03,-9.00E-02
5.4,-8.44E-02,-2.09E-02,-4.78E-02,-6.42E-02,-8.59E-03,-8.97E-02
5.45,-8.50E-02,-1.90E-02,-5.12E-02,-6.00E-02,-1.22E-02,-8.83E-02
5.5,-8.55E-02,-1.72E-02,-5.45E-02,-5.56E-02,-1.63E-02,-8.60E-02
5.55,-8.60E-02,-1.55E-02,-5.78E-02,-5.12E-02,-2.09E-02,-8.27E-02
5.6,-8.64E-02,-1.38E-02,-6.10E-02,-4.67E-02,-2.58E-02,-7.86E-02
5.65,-8.68E-02,-1.22E-02,-6.42E-02,-4.22E-02,-3.11E-02,-7.37E-02
5.7,-8.72E-02,-1.07E-02,-6.72E-02,-3.77E-02,-3.66E-02,-6.82E-02
5.75,-8.76E-02,-9.27E-03,-7.01E-02,-3.33E-02,-4.22E-02,-6.21E-02
5.8,-8.80E-02,-7.94E-03,-7.28E-02,-2.90E-02,-4.78E-02,-5.56E-02
5.85,-8.83E-02,-6.71E-03,-7.54E-02,-2.48E-02,-5.34E-02,-4.90E-02
5.9,-8.86E-02,-5.57E-03,-7.78E-02,-2.09E-02,-5.89E-02,-4.22E-02
5.95,-8.89E-02,-4.53E-03,-8.00E-02,-1.72E-02,-6.42E-02,-3.55E-02
6,-8.91E-02,-3.59E-03,-8.21E-02,-1.38E-02,-6.91E-02,-2.90E-02
6.05,-8.93E-02,-2.76E-03,-8.39E-02,-1.07E-02,-7.37E-02,-2.28E-02
6.1,-8.95E-02,-2.03E-03,-8.55E-02,-7.94E-03,-7.78E-02,-1.72E-02
6.15,-8.97E-02,-1.41E-03,-8.68E-02,-5.57E-03,-8.14E-02,-1.22E-02
6.2,-8.98E-02,-9.07E-04,-8.80E-02,-3.59E-03,-8.44E-02,-7.94E-03
6.25,-8.99E-02,-5.11E-04,-8.89E-02,-2.03E-03,-8.68E-02,-4.53E-03
6.3,-8.99E-02,-2.27E-04,-8.95E-02,-9.07E-04,-8.86E-02,-2.03E-03
6.35,-9.00E-02,-5.68E-05,-8.99E-02,-2.27E-04,-8.97E-02,-5.11E-04
6.4,-9.00E-02,0,-9.00E-02,0,-9.00E-02,0
6.45,-9.00E-02,-5.68E-05,-8.99E-02,-2.27E-04,-8.97E-02,-5.11E-04
6.5,-8.99E-02,-2.27E-04,-8.95E-02,-9.07E-04,-8.86E-02,-2.03E-03
6.55,-8.99E-02,-5.11E-04,-8.89E-02,-2.03E-03,-8.68E-02,-4.53E-03
6.6,-8.98E-02,-9.07E-04,-8.80E-02,-3.59E-03,-8.44E-02,-7.94E-03
6.65,-8.97E-02,-1.41E-03,-8.68E-02,-5.57E-03,-8.14E-02,-1.22E-02
6.7,-8.95E-02,-2.03E-03,-8.55E-02,-7.94E-03,-7.78E-02,-1.72E-02
6.75,-8.93E-02,-2.76E-03,-8.39E-02,-1.07E-02,-7.37E-02,-2.28E-02
6.8,-8.91E-02,-3.59E-03,-8.21E-02,-1.38E-02,-6.91E-02,-2.90E-02
6.85,-8.89E-02,-4.53E-03,-8.00E-02,-1.72E-02,-6.42E-02,-3.55E-02
6.9,-8.86E-02,-5.57E-03,-7.78E-02,-2.09E-02,-5.89E-02,-4.22E-02
6.95,-8.83E-02,-6.71E-03,-7.54E-02,-2.48E-02,-5.34E-02,-4.90E-02
7,-8.80E-02,-7.94E-03,-7.28E-02,-2.90E-02,-4.78E-02,-5.56E-02
7.05,-8.76E-02,-9.27E-03,-7.01E-02,-3.33E-02,-4.22E-02,-6.21E-02
7.1,-8.72E-02,-1.07E-02,-6.72E-02,-3.77E-02,-3.66E-02,-6.82E-02
